TestClass, runtime
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/CommonI18nTest.java, 0.20320000000000002
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/ArrayListMultimapTest.java, 0.0109
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/CollectionsTest.java, 0.0422
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/ImmutableAppendedListTest.java, 0.0111
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/LinkedHashMultimapTest.java, 0.0036
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/LinkedListMultimapTest.java, 0.0081
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/ProblemTest.java, 0.0036
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/SimpleProblemsTest.java, 0.006999999999999999
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/ThreadSafeProblemsTest.java, 0.0061
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/collection/ring/RingBufferTest.java, 0.0969
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/i18n/I18nTest.java, 0.0268
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/i18n/MockI18nTest.java, 0.003
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/logging/LoggerTest.java, 0.0161
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/math/DoubleOperationsTest.java, 0.0018000000000000002
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/math/DurationTest.java, 0.0031000000000000003
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/math/FloatOperationsTest.java, 0.0019
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/math/IntegerOperationsTest.java, 0.0017000000000000001
../projects/modeshape-d43535a6c2d6e0be37f36a17303ec417979bde06/modeshape-common/src/test/java/org/modeshape/common/math/LongOperationsTest.java, 0.0019
